y	y+	R_uu	R_vv	R_ww	R_uv	R_uw	R_vw	k
5.845600E-02	2.292900E+01	6.644100E+00	5.221100E-01	1.556800E+00	-7.781000E-01	6.641800E-02	1.646500E-03	4.361505E+00
6.266100E-02	2.457800E+01	6.402500E+00	5.679000E-01	1.583300E+00	-7.930200E-01	6.820700E-02	1.602600E-03	4.276850E+00
6.700700E-02	2.628300E+01	6.157300E+00	6.122900E-01	1.604700E+00	-8.050300E-01	6.900100E-02	1.507300E-03	4.187145E+00
7.149400E-02	2.804300E+01	5.914100E+00	6.549300E-01	1.621600E+00	-8.145200E-01	6.889600E-02	1.326800E-03	4.095315E+00
7.612000E-02	2.985800E+01	5.676700E+00	6.955400E-01	1.634400E+00	-8.218400E-01	6.828500E-02	1.030300E-03	4.003320E+00
8.088600E-02	3.172700E+01	5.447700E+00	7.338800E-01	1.643900E+00	-8.273300E-01	6.748100E-02	6.411900E-04	3.912740E+00
8.579000E-02	3.365100E+01	5.229100E+00	7.697100E-01	1.651200E+00	-8.313300E-01	6.645000E-02	2.364200E-04	3.825005E+00
9.083200E-02	3.562800E+01	5.022300E+00	8.028500E-01	1.656700E+00	-8.341200E-01	6.493700E-02	-1.361200E-04	3.740925E+00
9.601100E-02	3.766000E+01	4.827900E+00	8.331600E-01	1.660600E+00	-8.359000E-01	6.287500E-02	-4.756900E-04	3.660830E+00
1.013300E-01	3.974400E+01	4.646200E+00	8.606100E-01	1.662300E+00	-8.368300E-01	6.071000E-02	-7.841200E-04	3.584555E+00
1.067800E-01	4.188200E+01	4.476800E+00	8.852000E-01	1.661800E+00	-8.370000E-01	5.918200E-02	-1.053900E-03	3.511900E+00
1.123600E-01	4.407300E+01	4.319400E+00	9.070000E-01	1.659400E+00	-8.364900E-01	5.852700E-02	-1.265500E-03	3.442900E+00
1.180800E-01	4.631600E+01	4.173000E+00	9.260700E-01	1.655300E+00	-8.352300E-01	5.843700E-02	-1.412600E-03	3.377185E+00
1.239300E-01	4.861100E+01	4.037000E+00	9.424700E-01	1.650000E+00	-8.332100E-01	5.851200E-02	-1.493000E-03	3.314735E+00
1.299100E-01	5.095800E+01	3.910600E+00	9.562600E-01	1.643900E+00	-8.304400E-01	5.837600E-02	-1.511800E-03	3.255380E+00
1.360300E-01	5.335600E+01	3.793000E+00	9.675400E-01	1.637300E+00	-8.268700E-01	5.808400E-02	-1.519600E-03	3.198920E+00
1.422700E-01	5.580500E+01	3.683400E+00	9.765100E-01	1.629900E+00	-8.225200E-01	5.812500E-02	-1.622800E-03	3.144905E+00
1.486400E-01	5.830500E+01	3.582100E+00	9.834100E-01	1.620900E+00	-8.176200E-01	5.853700E-02	-1.829500E-03	3.093205E+00
1.551500E-01	6.085500E+01	3.489600E+00	9.885000E-01	1.610500E+00	-8.124900E-01	5.880900E-02	-2.014500E-03	3.044300E+00
1.617800E-01	6.345600E+01	3.405300E+00	9.919700E-01	1.599100E+00	-8.072600E-01	5.849400E-02	-2.082600E-03	2.998185E+00
1.685300E-01	6.610500E+01	3.327800E+00	9.939600E-01	1.587200E+00	-8.018000E-01	5.787600E-02	-2.110100E-03	2.954480E+00
1.754100E-01	6.880400E+01	3.255700E+00	9.945500E-01	1.575400E+00	-7.959200E-01	5.703400E-02	-2.162800E-03	2.912825E+00
1.824200E-01	7.155100E+01	3.188600E+00	9.937900E-01	1.563700E+00	-7.896100E-01	5.574600E-02	-2.244100E-03	2.873045E+00
1.895400E-01	7.434700E+01	3.126900E+00	9.918300E-01	1.551000E+00	-7.829600E-01	5.425900E-02	-2.322000E-03	2.834865E+00
1.967900E-01	7.719100E+01	3.070200E+00	9.888700E-01	1.536700E+00	-7.761300E-01	5.295700E-02	-2.351900E-03	2.797885E+00
2.041600E-01	8.008200E+01	3.017800E+00	9.851200E-01	1.521200E+00	-7.692900E-01	5.181900E-02	-2.301800E-03	2.762060E+00
2.116500E-01	8.302000E+01	2.967800E+00	9.807500E-01	1.505200E+00	-7.624300E-01	5.087200E-02	-2.085100E-03	2.726875E+00
2.192600E-01	8.600500E+01	2.919100E+00	9.758300E-01	1.488900E+00	-7.555200E-01	5.051400E-02	-1.620900E-03	2.691915E+00
2.269900E-01	8.903500E+01	2.871200E+00	9.704400E-01	1.472100E+00	-7.485100E-01	5.056400E-02	-8.580200E-04	2.656870E+00
2.348300E-01	9.211200E+01	2.823900E+00	9.646500E-01	1.455100E+00	-7.414600E-01	5.022900E-02	1.178300E-04	2.621825E+00
2.427900E-01	9.523400E+01	2.777600E+00	9.584600E-01	1.437900E+00	-7.344500E-01	4.917100E-02	1.033700E-03	2.586980E+00
2.508600E-01	9.840000E+01	2.732400E+00	9.517900E-01	1.420600E+00	-7.273700E-01	4.756500E-02	1.644000E-03	2.552395E+00
2.590500E-01	1.016100E+02	2.688300E+00	9.445900E-01	1.403500E+00	-7.201200E-01	4.571600E-02	1.985100E-03	2.518195E+00
2.673500E-01	1.048600E+02	2.645300E+00	9.367900E-01	1.386700E+00	-7.127100E-01	4.391600E-02	2.229100E-03	2.484395E+00
2.757500E-01	1.081600E+02	2.603100E+00	9.284500E-01	1.369600E+00	-7.052100E-01	4.213400E-02	2.414300E-03	2.450575E+00
2.842700E-01	1.115000E+02	2.561200E+00	9.197600E-01	1.351500E+00	-6.976100E-01	4.007700E-02	2.512800E-03	2.416230E+00
2.928900E-01	1.148900E+02	2.519600E+00	9.108700E-01	1.332200E+00	-6.898500E-01	3.752000E-02	2.500600E-03	2.381335E+00
3.016200E-01	1.183100E+02	2.479300E+00	9.018500E-01	1.311800E+00	-6.819200E-01	3.435800E-02	2.372600E-03	2.346475E+00
3.104600E-01	1.217800E+02	2.441100E+00	8.926800E-01	1.291000E+00	-6.739600E-01	3.085800E-02	2.195200E-03	2.312390E+00
3.194000E-01	1.252800E+02	2.405500E+00	8.833500E-01	1.270000E+00	-6.659800E-01	2.709400E-02	2.051700E-03	2.279425E+00
3.284400E-01	1.288300E+02	2.371400E+00	8.738500E-01	1.248800E+00	-6.579400E-01	2.337100E-02	1.999900E-03	2.247025E+00
3.375800E-01	1.324200E+02	2.338000E+00	8.641800E-01	1.227600E+00	-6.497700E-01	2.050000E-02	1.970000E-03	2.214890E+00
3.468300E-01	1.360400E+02	2.304600E+00	8.543600E-01	1.206600E+00	-6.414800E-01	1.879500E-02	1.818900E-03	2.182780E+00
3.561700E-01	1.397100E+02	2.270800E+00	8.443900E-01	1.185500E+00	-6.329800E-01	1.789100E-02	1.433600E-03	2.150345E+00
3.656100E-01	1.434100E+02	2.236500E+00	8.342100E-01	1.164100E+00	-6.241500E-01	1.757200E-02	7.537500E-04	2.117405E+00
3.751400E-01	1.471500E+02	2.202300E+00	8.236900E-01	1.142300E+00	-6.150000E-01	1.751700E-02	-7.929000E-05	2.084145E+00
3.847700E-01	1.509200E+02	2.168200E+00	8.128500E-01	1.120200E+00	-6.055100E-01	1.709500E-02	-8.372000E-04	2.050625E+00
3.944900E-01	1.547400E+02	2.133500E+00	8.018100E-01	1.098300E+00	-5.956100E-01	1.591300E-02	-1.341300E-03	2.016805E+00
4.043000E-01	1.585800E+02	2.098300E+00	7.907400E-01	1.076700E+00	-5.853000E-01	1.430600E-02	-1.577100E-03	1.982870E+00
4.142000E-01	1.624700E+02	2.063100E+00	7.796800E-01	1.055100E+00	-5.746000E-01	1.281200E-02	-1.517900E-03	1.948940E+00
4.241900E-01	1.663900E+02	2.027700E+00	7.685600E-01	1.033900E+00	-5.635000E-01	1.190700E-02	-1.176200E-03	1.915080E+00
4.342700E-01	1.703400E+02	1.992000E+00	7.573100E-01	1.013100E+00	-5.520400E-01	1.164000E-02	-7.049800E-04	1.881205E+00
4.444300E-01	1.743300E+02	1.956800E+00	7.458800E-01	9.927900E-01	-5.404000E-01	1.150300E-02	-2.068900E-04	1.847735E+00
4.546700E-01	1.783400E+02	1.922900E+00	7.342500E-01	9.725400E-01	-5.288300E-01	1.109700E-02	2.052900E-04	1.814845E+00
4.650000E-01	1.823900E+02	1.889600E+00	7.224900E-01	9.518700E-01	-5.174700E-01	1.021800E-02	5.097100E-04	1.781980E+00
4.754100E-01	1.864800E+02	1.856200E+00	7.106400E-01	9.305700E-01	-5.062600E-01	9.000400E-03	7.621100E-04	1.748705E+00
4.859000E-01	1.905900E+02	1.823200E+00	6.986200E-01	9.093600E-01	-4.950700E-01	7.875300E-03	9.229200E-04	1.715590E+00
4.964600E-01	1.947300E+02	1.790800E+00	6.864200E-01	8.892600E-01	-4.838600E-01	7.161700E-03	9.301700E-04	1.683240E+00
5.071000E-01	1.989100E+02	1.759100E+00	6.741700E-01	8.704200E-01	-4.726900E-01	7.012100E-03	7.281400E-04	1.651845E+00
5.178200E-01	2.031100E+02	1.727400E+00	6.620100E-01	8.524300E-01	-4.616400E-01	7.380200E-03	2.735200E-04	1.620920E+00
5.286000E-01	2.073400E+02	1.694800E+00	6.500700E-01	8.346900E-01	-4.507200E-01	8.229900E-03	-2.930300E-04	1.589780E+00
5.394600E-01	2.116000E+02	1.661000E+00	6.384300E-01	8.169000E-01	-4.399900E-01	9.395400E-03	-7.456500E-04	1.558165E+00
5.503900E-01	2.158900E+02	1.626400E+00	6.271200E-01	7.993900E-01	-4.294900E-01	1.058500E-02	-9.538400E-04	1.526455E+00
5.613800E-01	2.202000E+02	1.591000E+00	6.161300E-01	7.824100E-01	-4.191000E-01	1.183400E-02	-9.538900E-04	1.494770E+00
5.724400E-01	2.245400E+02	1.555000E+00	6.054500E-01	7.658700E-01	-4.087600E-01	1.372800E-02	-1.007500E-03	1.463160E+00
5.835700E-01	2.289000E+02	1.518400E+00	5.951200E-01	7.493100E-01	-3.985300E-01	1.656300E-02	-1.297000E-03	1.431415E+00
5.947600E-01	2.332900E+02	1.480800E+00	5.852300E-01	7.325800E-01	-3.884300E-01	1.983500E-02	-1.762000E-03	1.399305E+00
6.060100E-01	2.377000E+02	1.442500E+00	5.758900E-01	7.157200E-01	-3.783500E-01	2.255500E-02	-2.230500E-03	1.367055E+00
6.173200E-01	2.421400E+02	1.403700E+00	5.671500E-01	6.986800E-01	-3.681000E-01	2.396500E-02	-2.563700E-03	1.334765E+00
6.286800E-01	2.466000E+02	1.364700E+00	5.589600E-01	6.815900E-01	-3.576100E-01	2.409900E-02	-2.718300E-03	1.302625E+00
6.401000E-01	2.510800E+02	1.326000E+00	5.512000E-01	6.649200E-01	-3.469500E-01	2.337800E-02	-2.709500E-03	1.271060E+00
6.515800E-01	2.555800E+02	1.288100E+00	5.437200E-01	6.491600E-01	-3.362100E-01	2.223600E-02	-2.572200E-03	1.240490E+00
6.631100E-01	2.601000E+02	1.251300E+00	5.364200E-01	6.342400E-01	-3.254400E-01	2.087100E-02	-2.464600E-03	1.210980E+00
6.746900E-01	2.646400E+02	1.216200E+00	5.291900E-01	6.200100E-01	-3.146800E-01	1.922400E-02	-2.547200E-03	1.182700E+00
6.863200E-01	2.692000E+02	1.182700E+00	5.219700E-01	6.066000E-01	-3.039300E-01	1.727300E-02	-2.787100E-03	1.155635E+00
6.979900E-01	2.737800E+02	1.150000E+00	5.147300E-01	5.937700E-01	-2.931500E-01	1.511600E-02	-3.009400E-03	1.129250E+00
7.097200E-01	2.783800E+02	1.117500E+00	5.075000E-01	5.810100E-01	-2.823100E-01	1.305500E-02	-3.120200E-03	1.103005E+00
7.214800E-01	2.830000E+02	1.084300E+00	5.002900E-01	5.681500E-01	-2.713300E-01	1.136000E-02	-3.177200E-03	1.076370E+00
7.332900E-01	2.876300E+02	1.050700E+00	4.931200E-01	5.554100E-01	-2.601900E-01	9.978700E-03	-3.241000E-03	1.049615E+00
7.451300E-01	2.922700E+02	1.017300E+00	4.860500E-01	5.430400E-01	-2.489300E-01	8.767700E-03	-3.317100E-03	1.023195E+00
7.570200E-01	2.969400E+02	9.847800E-01	4.792200E-01	5.311300E-01	-2.375300E-01	7.886800E-03	-3.373800E-03	9.975650E-01
7.689400E-01	3.016100E+02	9.537700E-01	4.726800E-01	5.197100E-01	-2.260500E-01	7.615600E-03	-3.413500E-03	9.730800E-01
7.809000E-01	3.063000E+02	9.245400E-01	4.664400E-01	5.088200E-01	-2.146200E-01	7.942400E-03	-3.489700E-03	9.499000E-01
7.928900E-01	3.110100E+02	8.970600E-01	4.604700E-01	4.985300E-01	-2.032600E-01	8.637900E-03	-3.672000E-03	9.280300E-01
8.049100E-01	3.157200E+02	8.711300E-01	4.547800E-01	4.888300E-01	-1.918800E-01	9.584000E-03	-3.988200E-03	9.073700E-01
8.169600E-01	3.204500E+02	8.464500E-01	4.493200E-01	4.798200E-01	-1.804300E-01	1.054000E-02	-4.389600E-03	8.877950E-01
8.290400E-01	3.251900E+02	8.229600E-01	4.441000E-01	4.716400E-01	-1.689800E-01	1.115900E-02	-4.768500E-03	8.693500E-01
8.411400E-01	3.299300E+02	8.006200E-01	4.391500E-01	4.639200E-01	-1.575200E-01	1.120900E-02	-5.041700E-03	8.518450E-01
8.532700E-01	3.346900E+02	7.792900E-01	4.345800E-01	4.561800E-01	-1.460100E-01	1.061700E-02	-5.168700E-03	8.350250E-01
8.654200E-01	3.394600E+02	7.588900E-01	4.304400E-01	4.484200E-01	-1.344200E-01	9.526000E-03	-5.104000E-03	8.188750E-01
8.775900E-01	3.442300E+02	7.393200E-01	4.267100E-01	4.407100E-01	-1.227200E-01	8.299800E-03	-4.828700E-03	8.033700E-01
8.897800E-01	3.490100E+02	7.205100E-01	4.233900E-01	4.334500E-01	-1.109400E-01	7.228700E-03	-4.405600E-03	7.886750E-01
9.019800E-01	3.538000E+02	7.026100E-01	4.204600E-01	4.270800E-01	-9.912000E-02	6.450200E-03	-3.898400E-03	7.750750E-01
9.142000E-01	3.585900E+02	6.857600E-01	4.179600E-01	4.216900E-01	-8.730100E-02	6.169600E-03	-3.346200E-03	7.627050E-01
9.264400E-01	3.633900E+02	6.702300E-01	4.159100E-01	4.170900E-01	-7.544100E-02	6.427700E-03	-2.792700E-03	7.516150E-01
9.386800E-01	3.681900E+02	6.562000E-01	4.143100E-01	4.131900E-01	-6.345200E-02	7.023800E-03	-2.237600E-03	7.418500E-01
9.509300E-01	3.730000E+02	6.438900E-01	4.131300E-01	4.098400E-01	-5.125200E-02	7.781800E-03	-1.685500E-03	7.334300E-01
9.631900E-01	3.778100E+02	6.337500E-01	4.123400E-01	4.068900E-01	-3.877200E-02	8.748900E-03	-1.185800E-03	7.264900E-01
9.754600E-01	3.826200E+02	6.262600E-01	4.118800E-01	4.043100E-01	-2.600100E-02	9.862700E-03	-7.655400E-04	7.212250E-01
9.877300E-01	3.874300E+02	6.217400E-01	4.116600E-01	4.024700E-01	-1.303100E-02	1.073100E-02	-3.883500E-04	7.179350E-01
1.000000E+00	3.922400E+02	6.202400E-01	4.116000E-01	4.017900E-01	0.000000E+00	1.103200E-02	0.000000E+00	7.168150E-01
